"Brand","Store Number","Store Name","Ownership Type","Street Address","City","State/Province","Country","Postcode","Phone Number","Timezone","Longitude","Latitude"
"Starbucks","7379-1056","Wolf Road","Company Owned","18 Wolf Rd, Crossgates Mall","Albany","NY","US","122052609","(518) 435-9280","GMT-05:00 America/New_York",-73.82,42.71
"Starbucks","11064-103915","Crossgates Mall","Company Owned","1 Crossgates Mall Road, B231","Albany","NY","US","122035367","518-218-1520","GMT-05:00 America/New_York",-73.85,42.69
"Starbucks","15207-156777","Target Colonie T-1268","Licensed","1440 Central Ave","Albany","NY","US","122055118","518-489-1112","GMT-05:00 America/New_York",-73.82,42.71
"Starbucks","7922-92120","North Pearl Street","Company Owned","10 North Pearl St","Albany","NY","US","122072702","518-463-6990","GMT-05:00 America/New_York",-73.75,42.65
"Starbucks","75393-105057","College St. Rose","Licensed","420 Western Ave, Hilton Garden Inn at Albany Medical Ctr","Albany","NY","US","122031400","518-485-3946","GMT-05:00 America/New_York",-73.79,42.66
"Starbucks","11275-103630","New Scotland Avenue","Company Owned","62 New Scotland Ave","Albany","NY","US","122083466","518-694-8171","GMT-05:00 America/New_York",-73.78,42.65
"Starbucks","3503-140887","ALB Concourse B Times Square","Licensed","737 Albany-Shaker Road, Crossgates Mall","Albany","NY","US","122111000","(518) 242-4333","GMT-05:00 America/New_York",-73.81,42.74
"Teavana","28442-249823","Teavana - Crossgates Mall","Company Owned","1 CROSSGATE MALL RD, #B205A","ALBANY","NY","US","12203","518-218-0245","GMT-05:00 America/New_York",-73.85,42.69
"Starbucks","11810-104532","Albany Shaker Rd and Wolf Rd","Company Owned","243 Wolf Rd","Albany","NY","US","122051114","518-482-2370","GMT-05:00 America/New_York",-73.8,42.73
"Starbucks","11194-103976","1244 Western Ave","Company Owned","1244 Western Avenue","Albany","NY","US","122033322","518-591-0372","GMT-05:00 America/New_York",-73.83,42.68
"Starbucks","7335-1053","Stuyvesant Plaza","Company Owned","1475 Western Avenue, Boulevard Mall","Albany","NY","US","122033520","5184891064","GMT-05:00 America/New_York",-73.84,42.68
"Teavana","28558-250068","Teavana - Boulevard Mall","Company Owned","1259-A Niagara Falls Blvd., #317","Amherst","NY","US","14226","716-833-3234","GMT-05:00 America/New_York",-78.82,42.99
"Starbucks","7327-676","Amherst, Niagara Falls Blvd","Company Owned","1703 Niagara Falls Boulevard, The Commons - Buffalo University","Amherst","NY","US","142282705","(716) 836-8720","GMT-05:00 America/New_York",-78.82,43
"Starbucks","7318-1048","The Commons, SUNY Buffalo","Company Owned","520 Lee Entrance","Amherst","NY","US","142282567","(716) 636-3607","GMT-05:00 America/New_York",-78.79,43
"Starbucks","76778-109264","Target Boulevard Mall T-1010","Licensed","1575 Niagara Falls Blvd","Amherst","NY","US","142282704","(716) 831-8750","GMT-05:00 America/New_York",-78.82,43
"Starbucks","7938-95618","Williamsville Place","Company Owned","5395-5495 Sheridan Drive","Amherst","NY","US","142213600","716-839-0580","GMT-05:00 America/New_York",-78.73,42.98
"Starbucks","79470-97520","Stop & Shop-Amityville #550","Licensed","351 Merrick Rd","Amityville","NY","US","117013420","631-391-0304","GMT-05:00 America/New_York",-73.41,40.67
"Starbucks","24309-237007","Amityville- Broadway","Company Owned","751-827 Broadway, 200","Amityville","NY","US","11701","","GMT-05:00 America/New_York",-73.43,40.7
"Starbucks","70085-136616","Target Amsterdam T-2461","Licensed","4930 State Hwy 30, Village Green","Amsterdam","NY","US","120107520","518-770-7180","GMT-05:00 America/New_York",-74.19,42.96
"Starbucks","7304-1172","Ardsley","Company Owned","716-718 Saw Mill Road","Ardsley","NY","US","105021817","(914) 693-5706","GMT-05:00 America/New_York",-73.85,41.01
"Starbucks","14840-129334","31-01 Broadway","Company Owned","31-01 Broadway","Astoria","NY","US","111062648","718-777-1305","GMT-05:00 America/New_York",-73.93,40.76
"Starbucks","22638-223164","Astoria Blvd & 31st St","Company Owned","30-18 Astoria Blvd","Astoria","NY","US","11102","7182781518","GMT-05:00 America/New_York",-73.92,40.77
"Starbucks","9663-97893","35th Ave and 37th St","Company Owned","3711 35th Avenue","Astoria","NY","US","11106","718-706-0464","GMT-05:00 America/New_York",-73.92,40.76
"Starbucks","7567-18640","31-44 Steinway Street","Company Owned","31-44 Steinway Street","Astoria","NY","US","111033911","718-274-5700","GMT-05:00 America/New_York",-73.92,40.76
"Starbucks","7555-14690","31St St & Ditmars Blvd","Company Owned","22-04 31st Street","Astoria","NY","US","111052714","718-626-6004","GMT-05:00 America/New_York",-73.91,40.78
"Starbucks","79465-104047","Stop & Shop-Babylon #543","Licensed","88 Golding Avenue","Babylon","NY","US","117046203","","GMT-05:00 America/New_York",-73.36,40.71
"Starbucks","73906-133727","Waldbaums-Baldwin Harbor-#452","Licensed","905 Atlantic Avenue","Baldwin Harbor","NY","US","115104240","516- 867-7301","GMT-05:00 America/New_York",-73.61,40.64
"Starbucks","76920-135784","Target Batavia T-2382","Licensed","4300 Veterens Memorial Dr, South Shore","Batavia","NY","US","140201258","(585) 300-2045","GMT-05:00 America/New_York",-78.21,43.01
"Teavana","28680-250157","Teavana - South Shore","Company Owned","1701 Sunrise Hwy., Ste. M65","Bay Shore","NY","US","11706","631-665-2391","GMT-05:00 America/New_York",-73.25,40.74
"Starbucks","15413-156964","Target Bay Shore T-1148","Licensed","838 Sunrise Hwy","Bay Shore","NY","US","117065908","631-969-8958","GMT-05:00 America/New_York",-73.28,40.73
"Starbucks","19833-188585","Macys South Shore Mall","Licensed","1702 Sunrise Hwy, The Shoppes at Bayport","Bay Shore","NY","US","11706","631-665-8400","GMT-05:00 America/New_York",-73.24,40.74
"Starbucks","10284-100403","Bayport","Company Owned","911 Montauk Highway","Bayport","NY","US","117051613","631-472-0151","GMT-05:00 America/New_York",-73.05,40.75
"Starbucks","7391-1676","215th St. & Northern Blvd","Company Owned","215-29 Northern Blvd.","Bayside","NY","US","113613464","(718) 281-4165","GMT-05:00 America/New_York",-73.77,40.76
"Starbucks","13450-106937","251-05 Jamaica Avenue","Company Owned","251-05 Jamaica Avenue","Bellerose","NY","US","11426","7183471304","GMT-05:00 America/New_York",-73.71,40.73
"Starbucks","2782-91102","Bethpage, Stewart Avenue","Company Owned","205 Stewart Ave","Bethpage","NY","US","117145345","516-520-0698","GMT-05:00 America/New_York",-73.48,40.73
"Starbucks","76580-100173","Target Big Flats T-2158","Licensed","930 Country Rd 64, The Gardens","Big Flats","NY","US","14814","607-796-5910","GMT-05:00 America/New_York",-76.87,42.15
"Starbucks","10286-100066","Binghamton, Front Street","Company Owned","904 Upper Front Street","Binghamton","NY","US","139051342","607-722-1702","GMT-05:00 America/New_York",-75.9,42.14
"Starbucks","47138-246688","Binghamton U at Hinman Dining Hall","Licensed","4400 Vestal Parkway East","Binghamton","NY","US","13902","","GMT-05:00 America/New_York",-75.91,42.1
"Starbucks","7486-6847","Hamburg","Company Owned","3540 McKinley Parkway","Blasdell","NY","US","142192600","716-828-9005","GMT-05:00 America/New_York",-78.81,42.79
"Starbucks","20136-203441","Bohemia- Veterans Mem Hwy","Company Owned","4180 Veterans Memorial Hwy, Mrs. Green's Market","Bohemia","NY","US","11716","6319811237","GMT-05:00 America/New_York",-73.1,40.78
"Starbucks","9369-96113","Briarcliff Manor","Company Owned","107 North State Rd","Briarcliff Manor","NY","US","105101444","914-923-0263","GMT-05:00 America/New_York",-73.83,41.15
"Starbucks","7406-1586","Bridgehampton Village","Company Owned","2488 Montauk Hwy, Twelve Corners Shopping Center","Bridgehampton","NY","US","11932","6315375851","GMT-05:00 America/New_York",-72.3,40.94
"Starbucks","7315-1049","Twelve Corners","Company Owned","1914 Monroe Avenue","Brighton","NY","US","146181919","585-442-6410","GMT-05:00 America/New_York",-77.56,43.13
"Starbucks","29721-255066","Eastchester Rd. & Morris Park Ave.","Company Owned","1886 Eastchester Rd.","Bronx","NY","US","10461","6466183964","GMT-05:00 America/New_York",-73.84,40.85
"Starbucks","29855-255554","Throgs Neck Shopping Center","Company Owned","815 E Hutchinson River Pkwy, 845","Bronx","NY","US","10465","9292464022","GMT-05:00 America/New_York",-73.84,40.82
"Starbucks","25446-241029","161st & Morris Ave","Company Owned","260 East 161st Street","Bronx","NY","US","10451","6468599582","GMT-05:00 America/New_York",-73.92,40.83
"Starbucks","23265-228866","230th & Broadway","Company Owned","171 W 230th St","Bronx","NY","US","10463","646-455-9846","GMT-05:00 America/New_York",-73.91,40.88
"Starbucks","17829-138153","Manhattan College - Thomas Hall Stu","Licensed","4513 Manhattan College Pkwy","Bronx","NY","US","104714004","","GMT-05:00 America/New_York",-73.9,40.89
"Starbucks","3863-141165","Target Bronx Terminal T-2475","Licensed","700 Exterior St, Fordham Plaza","Bronx","NY","US","104512042","(718) 401-5651","GMT-05:00 America/New_York",-73.93,40.82
"Starbucks","19872-189465","Fordham Plaza","Company Owned","440 East Fordham Road","Bronx","NY","US","10458","(718) 220-4920","GMT-05:00 America/New_York",-73.89,40.86
"Starbucks","7745-26828","Metropolitan Ave & Wood Ave","Company Owned","1385 Metropolitan Avenue","Bronx","NY","US","104627403","718-319-1702","GMT-05:00 America/New_York",-73.86,40.84
"Starbucks","76239-88982","Target Riverdale T-1798","Licensed","40 W 225th St","Bronx","NY","US","104637016","","GMT-05:00 America/New_York",-73.91,40.87
"Starbucks","11931-106884","235th & Johnson Ave","Company Owned","3503 Johnson Avenue","Bronx","NY","US","104631602","718-543-2348","GMT-05:00 America/New_York",-73.91,40.89
"Starbucks","21895-215765","Target Bronx T-2811","Licensed","815 Hutchinson River Pkwy","Bronx","NY","US","10465","718-536-2689","GMT-05:00 America/New_York",-73.84,40.82
"Starbucks","9282-95649","225th & Kingsbridge Plaza","Company Owned","50 W. 225th Street, Bldg. K1","Bronx","NY","US","104681128","718-561-3749","GMT-05:00 America/New_York",-73.91,40.87
"Starbucks","13535-108268","Eastchester Rd & Waters Pl","Company Owned","1728 Eastchester Road","Bronx","NY","US","104612322","718-239-4931","GMT-05:00 America/New_York",-73.84,40.85
"Starbucks","803-2021","Bronxville","Company Owned","29 Park Place","Bronxville","NY","US","107084106","914-771-9103","GMT-05:00 America/New_York",-73.83,40.94
"Starbucks","15465-147769","LIU CW Post","Licensed","720 Northern Blvd","Brookfield","NY","US","115481319","5162992473","GMT-05:00 America/New_York",-73.62,40.81
"Starbucks","2864-92970","Bay Ridge Pkwy & 3rd Ave","Company Owned","7419 3rd Avenue","Brooklyn","NY","US","112092407","718-836-3882","GMT-05:00 America/New_York",-74.03,40.63
"Starbucks","76878-100172","Target Brooklyn College","Licensed","2201 Nostrand Ave","Brooklyn","NY","US","112103036","718-637-5005","GMT-05:00 America/New_York",-73.95,40.63
"Starbucks","76240-90427","Target Atlantic Terminal T-1849","Licensed","139 Flatbush Ave","Brooklyn","NY","US","112171450","718-290-1109","GMT-05:00 America/New_York",-73.98,40.68
"Starbucks","21352-210984","395 Flatbush Ave Extension","Company Owned","395 Flatbush Ave Extension, D","Brooklyn","NY","US","11201","7188588070","GMT-05:00 America/New_York",-73.98,40.69
"Starbucks","22560-214868","Kings Plaza Mall","Company Owned","5296 Kings Plaza, Unit 0K2","Brooklyn","NY","US","11234","9292712767","GMT-05:00 America/New_York",-73.92,40.61
"Starbucks","23836-232524","394 Myrtle Ave","Company Owned","394 Myrtle Ave","Brooklyn","NY","US","11205","3475870422","GMT-05:00 America/New_York",-73.97,40.69
"Starbucks","16153-155504","Macy's-Kings Plaza #6","Licensed","5400 Avenue U","Brooklyn","NY","US","112345204","718-253-3100","GMT-05:00 America/New_York",-73.92,40.61
"Starbucks","7595-14074","Court St & Dean St","Company Owned","167 Court Street","Brooklyn","NY","US","112016422","718-222-9729","GMT-05:00 America/New_York",-73.99,40.69
"Starbucks","8131-96060","Cropsey Ave & Hart Place","Company Owned","3035 Cropsey Ave","Brooklyn","NY","US","112242727","718-372-3573","GMT-05:00 America/New_York",-73.99,40.58
"Starbucks","7358-1369","Court St & Joralemon","Company Owned","50 Court Street","Brooklyn","NY","US","112014859","(718) 855-0369","GMT-05:00 America/New_York",-73.99,40.69
"Starbucks","11807-106578","Smith St & Wyckoff St","Company Owned","164 Smith Street","Brooklyn","NY","US","112016303","718-422-0178","GMT-05:00 America/New_York",-73.99,40.69
"Starbucks","19554-200744","164 Park Place","Company Owned","164 Park Place","Brooklyn","NY","US","11217","718-623-9419","GMT-05:00 America/New_York",-73.97,40.68
"Starbucks","17224-171944","1417 Kings Highway","Company Owned","1417 Kings Highway","Brooklyn","NY","US","112292003","718-627-1016","GMT-05:00 America/New_York",-73.96,40.61
"Starbucks","13983-114731","1971 86th Street","Company Owned","1971 86th Street, Poly Tech Institute","Brooklyn","NY","US","112143103","718-266-1503","GMT-05:00 America/New_York",-74,40.61
"Starbucks","11809-106577","6 Metro Tech at Jay Street","Company Owned","6 Metro Tech","Brooklyn","NY","US","112013840","718-522-2396","GMT-05:00 America/New_York",-73.99,40.69
"Starbucks","23266-228865","Franklin Ave & Eastern Pkwy","Company Owned","341 Eastern Pkwy","Brooklyn","NY","US","11238","7187780140","GMT-05:00 America/New_York",-73.96,40.67
"Starbucks","11808-106389","514 86th St","Company Owned","514 86th Street","Brooklyn","NY","US","112095211","718-491-1340","GMT-05:00 America/New_York",-74.03,40.62
"Starbucks","9721-97945","33-42 Hillel Place","Company Owned","33-42 Hillel Place","Brooklyn","NY","US","112102902","718-338-2489","GMT-05:00 America/New_York",-73.95,40.63
"Starbucks","7921-91620","65th St & 18th Ave","Company Owned","6423 18th Avenue","Brooklyn","NY","US","112043710","718-234-7160","GMT-05:00 America/New_York",-73.99,40.62
"Starbucks","23267-228864","Caesar's Bay Shopping Center","Company Owned","8973 Bay Parkway","Brooklyn","NY","US","11214","7182651069","GMT-05:00 America/New_York",-74,40.6
"Starbucks","17727-179364","Barclays Center","Company Owned","620 Atlantic Avenue, Fulton Mall","Brooklyn","NY","US","11217","7182300859","GMT-05:00 America/New_York",-73.98,40.68
"Starbucks","16608-169505","348 Fulton Street","Company Owned","348 Fulton Street","Brooklyn","NY","US","112015109","718 4881719","GMT-05:00 America/New_York",-73.99,40.69
"Starbucks","28114-237585","Target Brooklyn T-2850","Licensed","445 Gold St","Brooklyn","NY","US","11201","929-397-2864","GMT-05:00 America/New_York",-73.98,40.69
